,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
The visitors that are tourists on the WTO methodology  ,382240,510286,558442,586755,729260,832746,963035,1081984,1203745,1192119,1259657,1494779,1651782
The outbonds that are tourists on the WTO methodology  ,337064,467573,515548,551682,715470,830492,965372,1080021,1198060,1187369,1262687,1481755,1622791
