MARZ,CATEGORY,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Ararat  Marz, rade turnover of consumer goods markets(ths. drams),1409,969.9,839.6,661.4,1586,4260.1,2460.8,2303,729.2,1252.3,2733.9,2795.4
Ararat  Marz,number of agricultural products markets(unit),3,3,2,1,1,1,1,1,1,1,1,1
Ararat  Marz,trade turnover of agricultural products markets(ths. drams),103.9,148.2,112.2,51.1,302.3,355.7,728.2,732.1,401.8,724.3,885,436.5
Ararat  Marz,number of kioks(unit),187,234,207,149,139,122,111,77,75,78,76,75
Ararat  Marz,trade turnover of kioks(ths. drams),1341.6,1356.6,1162.1,1085.4,992.1,905.8,894.7,1075.9,898.3,921.8,847.7,905
Ararat  Marz,number of other trade units(unit),61,58,46,53,63,63,74,64,68,91,95,94
Ararat  Marz,trade turnover of other trade units(ths. drams),3662.6,6673,3310.9,6334.5,3978,6126.2,7129.7,9882.4,9333.4,11656.5,10251.3,11948
Ararat  Marz,Average per capita trade turnover(drams),40312.5,55678.9,57248,65794,70448.2,96551.4,100333.3,115144.8,111668.3,138615.4,150177.5,172569.9
Ararat  Marz,Per capita trade turnover compared to average republican(%),15.8,19.2,17.5,20,18.5,22.4,22,24,23,31.7,36.1,38.5
Armavir  Marz,"Number of retail trade organizations, total (unit)",495,376,592,610,649,678,564,435,369,433,442,496
Armavir  Marz,"Retail trade turnover, total (ths. drams)",15249.7,22976.7,27587.8,30042.5,30519.8,29942.1,26734.2,29429.3,32161.3,50198.1,44963.3,43468.5
Armavir  Marz,number of shops(unit),85,80,106,141,190,208,211,181,175,208,223,263
Armavir  Marz,trade turnover of shops(ths. drams),1712,2309.1,4042,4445,5690.2,7546.9,8636.7,9281.8,10923.4,14290.8,14913.9,20507.5
Armavir  Marz,number of consumer goods markets(unit),3,3,3,3,4,4,3,4,4,3,3,3
Armavir  Marz, rade turnover of consumer goods markets(ths. drams),4046.6,3154.7,3056.3,4414.8,5533.2,7896.7,8314.5,8163.9,7317.4,6890.5,5754.2,4767.6
Armavir  Marz,number of agricultural products markets(unit),2,2,2,2,2,2,2,2,2,2,2,2
Armavir  Marz,trade turnover of agricultural products markets(ths. drams),2800,3849.5,1940.5,1373,1315.9,1217.3,1168.5,1201.7,1397.1,1359.2,1329.4,1337.9
Armavir  Marz,number of kioks(unit),358,243,433,416,405,416,300,200,140,128,127,141
Armavir  Marz,trade turnover of kioks(ths. drams),741.6,798.1,733.7,997.3,1135.6,855.1,823.9,743.5,893.4,1049.8,1009.4,1125.9
Armavir  Marz,number of other trade units(unit),47,48,48,48,48,48,48,48,48,92,87,87
Armavir  Marz,trade turnover of other trade units(ths. drams),5949.5,12865.3,17815.3,18812.4,16844.9,12426.1,7790.6,10038.4,11630,26607.8,21956.4,15729.6
Armavir  Marz,Average per capita trade turnover(drams),54521.6,81825.9,97794.4,106044.8,114178.1,112395.3,100278.3,110139.6,120409.2,188148.8,168908,163908.4
Armavir  Marz,Per capita trade turnover compared to average republican(%),21.4,28.3,29.8,32.3,29.9,26.1,22,22.9,24.8,43,40.6,36.6
Gegharkunik  Marz,"Number of retail trade organizations, total (unit)",417,437,499,453,475,440,476,443,498,551,532,499
Gegharkunik  Marz,"Retail trade turnover, total (ths. drams)",7789.7,11797.2,10943.8,11983.7,12954.5,12363.8,13654.8,18248.3,21571.3,21623.1,20679,22951.6
Gegharkunik  Marz,number of shops(unit),166,162,227,205,230,226,269,239,288,333,339,319
Gegharkunik  Marz,trade turnover of shops(ths. drams),2036.6,2627.2,3048.6,2651.6,3560.7,3406.7,4265.7,5219.3,6821.9,8732.1,9826.2,10365
Gegharkunik  Marz,number of consumer goods markets(unit),8,8,6,2,2,2,2,2,2,2,2,2
Gegharkunik  Marz, rade turnover of consumer goods markets(ths. drams),2639.1,2025.6,1603.9,1524.1,1502,1600.3,1962.6,2623.3,1348.4,1833.5,1763.7,1738.3
Gegharkunik  Marz,number of agricultural products markets(unit),3,3,2,2,2,2,2,2,2,2,1,1
Gegharkunik  Marz,trade turnover of agricultural products markets(ths. drams),294.8,304.9,382,446.1,485.5,571.9,539.2,684.4,670.5,550.7,302.4,188.8
Gegharkunik  Marz,number of kioks(unit),193,189,200,182,184,156,144,140,144,121,98,94
Gegharkunik  Marz,trade turnover of kioks(ths. drams),307.4,298.8,366.2,336.4,380.8,396.4,461.1,598.1,745.6,668.9,610.2,668.5
Gegharkunik  Marz,number of other trade units(unit),47,75,64,62,57,54,59,60,62,93,92,83
Gegharkunik  Marz,trade turnover of other trade units(ths. drams),2511.8,6540.7,5543.1,7025.5,7025.5,6388.5,6426.2,9123.2,11984.9,9837.9,8176.5,9991
Gegharkunik  Marz,Average per capita trade turnover(drams),32524.8,49175.5,45504.4,49683.7,54938.5,52500.2,57982.2,77718.5,92382.4,93042.6,89403.4,99702.9
